ladder_truck_group,floor_from,floor_to,base_amount,is_active
5T,2,5,150000,TRUE
6T,2,5,180000,TRUE
7_5T,2,5,210000,TRUE
10T,2,5,240000,TRUE
5T,6,7,160000,TRUE
6T,6,7,190000,TRUE
7_5T,6,7,220000,TRUE
10T,6,7,250000,TRUE
5T,8,9,170000,TRUE
6T,8,9,200000,TRUE
7_5T,8,9,230000,TRUE
10T,8,9,260000,TRUE
5T,10,11,180000,TRUE
6T,10,11,210000,TRUE
7_5T,10,11,240000,TRUE
10T,10,11,270000,TRUE
5T,12,13,190000,TRUE
6T,12,13,220000,TRUE
7_5T,12,13,250000,TRUE
10T,12,13,280000,TRUE
5T,14,14,200000,TRUE
6T,14,14,230000,TRUE
7_5T,14,14,260000,TRUE
10T,14,14,290000,TRUE
5T,15,15,210000,TRUE
6T,15,15,240000,TRUE
7_5T,15,15,270000,TRUE
10T,15,15,300000,TRUE
5T,16,16,220000,TRUE
6T,16,16,250000,TRUE
7_5T,16,16,280000,TRUE
10T,16,16,310000,TRUE
5T,17,17,230000,TRUE
6T,17,17,260000,TRUE
7_5T,17,17,290000,TRUE
10T,17,17,320000,TRUE
5T,18,18,250000,TRUE
6T,18,18,280000,TRUE
7_5T,18,18,310000,TRUE
10T,18,18,340000,TRUE
5T,19,19,260000,TRUE
6T,19,19,290000,TRUE
7_5T,19,19,320000,TRUE
10T,19,19,350000,TRUE
5T,20,20,280000,TRUE
6T,20,20,310000,TRUE
7_5T,20,20,340000,TRUE
10T,20,20,370000,TRUE
5T,21,21,310000,TRUE
6T,21,21,340000,TRUE
7_5T,21,21,370000,TRUE
10T,21,21,400000,TRUE
5T,22,22,340000,TRUE
6T,22,22,370000,TRUE
7_5T,22,22,400000,TRUE
10T,22,22,430000,TRUE
5T,23,23,370000,TRUE
6T,23,23,400000,TRUE
7_5T,23,23,430000,TRUE
10T,23,23,460000,TRUE
5T,24,24,400000,TRUE
6T,24,24,430000,TRUE
7_5T,24,24,460000,TRUE
10T,24,24,490000,TRUE